accept,form;input,string
accept-charset,form,string
action,form,string
align,applet;caption;col;colgroup;hr;iframe;img;table;tbody;td;tfoot;th;thead;tr,string
allow,iframe,string
alt,applet;area;img;input,string
async,script,flag
autocomplete,form;input;select;textarea,string
autofocus,button;input;keygen;select;textarea,flag
autoplay,audio;video,flag
buffered,audio;video,string
capture,input,[`user|`environment]
challenge,keygen,string
charset,meta;script,string
checked,input,flag
cite,blockquote;del;ins;q,string
code,applet,string
codebase,applet,string
cols,textarea,int
colspan,td;th,int
content,meta,string
controls,audio;video,flag
coords,area,string
crossorigin,audio;img;link;script;video,[`anonymous|`use_credentials]
data,object,string
datetime,del;ins;time,string
decoding,img,[`sync|`async|`auto]
default,track,string
defer,script,flag
dirname,input;textarea,string
disabled,button;fieldset;input;keygen;optgroup;option;select;textarea,flag
download,a;area,string
enctype,form,string
for,label;output,string
form,button;fieldset;input;keygen;label;meter;object;output;progress;select;textarea,string
formaction,input;button,string
formenctype,button;input,string
formmethod,button;input,string
formnovalidate,button;input,string
formtarget,button;input,string
headers,td;th,string
height,canvas;embed;iframe;img;input;object;video,int
high,meter,int
href,a;area;base;link,string
hreflang,a;area;link,string
http-equiv,meta,string
integrity,link;script,string
inputmode,textarea,[`none|`text|`decimal|`numeric|`tel|`search|`email|`url]
ismap,img,flag
keytype,keygen,string
kind,track,string
label,optgroup;option;track,string
list,input,string
loop,audio;bgsound;marquee;video,flag
low,meter,int
max,input;meter;progress,int
maxlength,input;textarea,int
minlength,input;textarea,int
media,a;area;link;source;style,string
method,form,string
min,input;meter,int
multiple,input;select,flag
muted,audio;video,flag
name,button;form;fieldset;iframe;input;keygen;object;output;select;textarea;map;meta;param,string
novalidate,form,flag
open,details;dialog,flag
optimum,meter,int
pattern,input,string
ping,a;area,string
placeholder,input;textarea,string
playsinline,video,flag
poster,video,string
preload,audio;video,flag
readonly,input;textarea,flag
referrerpolicy,a;area;iframe;img;link;script,string
rel,a;area;link,string
required,input;select;textarea,flag
reversed,ol,flag
rows,textarea,int
rowspan,td;th,int
sandbox,iframe,string
scope,th,[`row|`col|`rowgroup|`colgroup]
selected,option,flag
shape,area,string
size,input;select,int
sizes,link;img;source,string
span,col;colgroup,int
src,audio;embed;iframe;img;input;script;source;track;video,string
srcdoc,iframe,string
srclang,track,string
srcset,img;source,string
start,ol,int
step,input,int
target,a;area;base;form,string
type,button;input;embed;object;ol;script;source;style;menu;link,string
usemap,img;input;object,string
value,button;data;input;li;meter;option;progress;param,string
width,canvas;embed;iframe;img;input;object;video,int
wrap,textarea,string
draggable,GLOBAL,flag
accesskey,GLOBAL,string
autocapitalize,GLOBAL,[`off|`none|`on|`sentences|`words|`characters]
contenteditable,GLOBAL,bool
contextmenu,GLOBAL,string
dir,GLOBAL,[`ltr|`rtl|`auto]
hidden,GLOBAL,flag
id,GLOBAL,string
lang,GLOBAL,string
itemprop,GLOBAL,string
role,GLOBAL,string
style,GLOBAL,string
tabindex,GLOBAL,int
title,GLOBAL,string
translate,GLOBAL,[`yes|`no]
slot,GLOBAL,string
spellcheck,GLOBAL,bool
data,GLOBAL,(string * string) list
attr,GLOBAL,(string * string) list
aria,GLOBAL,(string * string) list
class,GLOBAL,string
class_list,GLOBAL,string list
class_flags,GLOBAL,(string * bool) list
